,storename,address,loncationdetail,lon,lat,city,province,district,township,geometry
637,常州星河城市花园店,武进区武宜北路9号星河城市花园五区9幢星河COCO City购物中心1楼L1C-012、L1S-011商铺。,"119.941434,31.715519",119.941434,31.715519,常州市,江苏省,武进区,湖塘镇,POINT (119.941434 31.715519)
638,盘锦水游城店,辽宁省盘锦市兴隆台区石油大街102号水游城一层,"122.075070,41.124415",122.07507,41.124415,盘锦市,辽宁省,兴隆台区,创新街道,POINT (122.07507 41.124415)
639,温江新尚天地,成都市温江区柳合大道与学府路交汇处学海路399号“新尚天地”商铺号：14-1-1,"103.814446,30.680393",103.814446,30.680393,成都市,四川省,温江区,天府街道,POINT (103.814446 30.680393)
640,北京荣祥广场,北京市顺义区天竺镇花梨坎村南荣祥广场汉堡王,"116.548255,40.063805",116.548255,40.063805,北京市,北京市,顺义区,空港街道,POINT (116.548255 40.063805)
641,北京万柳华联,北京市海淀区巴沟路2号华联购物中心F1-33-34,"116.295230,39.973065",116.29523,39.973065,北京市,北京市,海淀区,海淀街道,POINT (116.29523 39.973065)
642,厦门金湖乐都汇,厦门市湖里区金湖路101号乐购都汇广场04,"118.160264,24.511607",118.160264,24.511607,厦门市,福建省,湖里区,禾山街道,POINT (118.160264 24.511607)
643,淮安玖珑汇,淮安市淮安区翔宇南道801号玖珑汇商业广场1F-009-1号铺位汉堡王,"119.124706,33.537523",119.124706,33.537523,淮安市,江苏省,淮安区,河下街道,POINT (119.124706 33.537523)
644,军民融合产业园,北京市海淀区昆明湖南路51号F座7号,"116.277282,39.950246",116.277282,39.950246,北京市,北京市,海淀区,曙光街道,POINT (116.277282 39.950246)
645,成都龙湖,四川省成都市金牛区五块石路1号1F层058号（北城天街购物中心1F层）,"104.066650,30.711950",104.06665,30.71195,成都市,四川省,金牛区,五块石街道,POINT (104.06665 30.71195)
646,重庆新光天地,重庆市渝北区龙溪街道红锦大道89号B1层58号,"106.523241,29.591938",106.523241,29.591938,重庆市,重庆市,渝北区,龙溪街道,POINT (106.523241 29.591938)
647,贵阳砂之船,贵州双龙航空港经济区龙洞堡机场路与十字路交叉口北侧贵阳砂之船奥莱B馆3楼B3-26号商铺,"106.771529,26.547996",106.771529,26.547996,贵阳市,贵州省,南明区,云关乡,POINT (106.771529 26.547996)
648,常州月星环球港店,常州市通江中路598号L2013-L2014号商铺,"119.979551,31.839476",119.979551,31.839476,常州市,江苏省,新北区,龙虎塘街道,POINT (119.979551 31.839476)
649,绵阳万达餐厅,四川省绵阳市涪城区花园路9号万达百货1层1904号,"104.719701,31.453705",104.719701,31.453705,绵阳市,四川省,涪城区,朝阳街道,POINT (104.719701 31.453705)
650,无锡江阴万达广场,江阴市人民西路307、311、317号,"120.243359,31.898440",120.243359,31.89844,无锡市,江苏省,江阴市,澄江街道,POINT (120.243359 31.89844)
651,芜湖银泰店,弋江区利民西路189号银泰城1 - 102号商铺。,"118.366379,31.310881",118.366379,31.310881,芜湖市,安徽省,弋江区,中南街道,POINT (118.366379 31.310881)
652,福州天泽奥特莱斯,福州市闽候县南通镇旗山桥下天泽奥莱时代汉堡王餐厅,"119.260609,25.934766",119.260609,25.934766,福州市,福建省,闽侯县,南通镇,POINT (119.260609 25.934766)
653,江夏沃尔玛,武汉市江夏区纸坊街谭鑫培路19号地上一层2704F1F0015、2704F1F0016号铺位,"114.325491,30.367586",114.325491,30.367586,武汉市,湖北省,江夏区,纸坊街道,POINT (114.325491 30.367586)
654,大连腾飞餐厅,大连市甘井子区汇贤园1A-1号6单元,"121.510892,38.844792",121.510892,38.844792,大连市,辽宁省,甘井子区,凌水街道,POINT (121.510892 38.844792)
655,北京西直门凯德嘉茂,北京市西城区西外大街1号西直门凯德mall地下一层,"116.352606,39.942649",116.352606,39.942649,北京市,北京市,西城区,展览路街道,POINT (116.352606 39.942649)
656,苏州万科湖西美好荟,苏州市吴中经济开发区东方大道北侧、双冠金融城西侧 湖西玲珑美好荟一层129/139号商铺,"120.654780,31.263572",120.65478,31.263572,苏州市,江苏省,吴中区,郭巷街道,POINT (120.65478 31.263572)
657,厦门同集南路（银泰百货）,福建省厦门市集美区同集南路68号嘉庚体育馆综合配套A1-1地块 银泰百货1FL113号商铺,"118.106966,24.587761",118.106966,24.587761,厦门市,福建省,集美区,侨英街道,POINT (118.106966 24.587761)
658,北京丽泽恒泰,北京市丰台北路18号院E座1楼01,"116.305554,39.865937",116.305554,39.865937,北京市,北京市,丰台区,卢沟桥乡,POINT (116.305554 39.865937)
659,南京仙林金鹰,南京栖霞区仙林金鹰湖滨天地B1 楼BF-01号商铺。,"118.926770,32.102452",118.92677,32.102452,南京市,江苏省,栖霞区,仙林街道,POINT (118.92677 32.102452)
660,北京龙德广场,北京市昌平区立汤路龙德广场家乐福一层,"116.415678,40.058989",116.415678,40.058989,北京市,北京市,昌平区,天通苑南街道,POINT (116.415678 40.058989)
661,无锡梅村南,无锡市新吴区宁沪高速梅村服务区南广场,"120.431822,31.522010",120.431822,31.52201,无锡市,江苏省,新吴区,无锡高新技术产业开发区,POINT (120.431822 31.52201)
662,成都富力,成都市顺城大街289 号成都富力广场购物中心一楼1019-B 号,"104.069679,30.665546",104.069679,30.665546,成都市,四川省,青羊区,西御河街道,POINT (104.069679 30.665546)
663,上海湖滨路,上海市黄浦区湖滨路168号B2-W08单元。,"121.477807,31.220511",121.477807,31.220511,上海市,上海市,黄浦区,淮海中路街道,POINT (121.477807 31.220511)
664,哈尔滨学院路,哈尔滨市利民开发区学院路志华商城1栋6号,"126.551856,45.871758",126.551856,45.871758,哈尔滨市,黑龙江省,呼兰区,学院路街道,POINT (126.551856 45.871758)
665,大厂慕斯荟,南京市六合区葛关路380-1号大厂慕斯荟1层116号。,"118.762588,32.232499",118.762588,32.232499,南京市,江苏省,六合区,大厂街道,POINT (118.762588 32.232499)
666,南京复地活力广场店,南京市秦淮区双龙大道东侧D地块复地活力广场+H7一楼37、38、58、59、60号商铺。,"118.820170,31.952820",118.82017,31.95282,南京市,江苏省,江宁区,秣陵街道,POINT (118.82017 31.95282)
667,兰州中心汉堡王,兰州市西津西路16号兰州中心第G层CY002号,"103.774920,36.068980",103.77492,36.06898,兰州市,甘肃省,七里河区,建兰路街道,POINT (103.77492 36.06898)
668,天津国耀上河城,天津市北辰区双街镇顺境路90-94号（双号）上河城购物中心一层102,"117.106310,39.257002",117.10631,39.257002,天津市,天津市,北辰区,双街镇,POINT (117.10631 39.257002)
669,大庆松雷,大庆市让胡路区中原路3号华俊生活广场一楼,"124.889941,46.610234",124.889941,46.610234,大庆市,黑龙江省,让胡路区,西宾街道,POINT (124.889941 46.610234)
670,长沙新城吾悦广场,长沙市星沙街道特立东路与东四路交叉口新城吾悦广场第五幢一楼1041商铺,"113.102439,28.252582",113.102439,28.252582,长沙市,湖南省,长沙县,星沙街道,POINT (113.102439 28.252582)
671,日照万象汇店,山东省日照市东港区烟台路176号华润万象汇1层L-157号汉堡王餐厅,"119.532621,35.420586",119.532621,35.420586,日照市,山东省,东港区,秦楼街道,POINT (119.532621 35.420586)
672,成都星空路,成都市双流区东升街道星空路999号万达广场1061A-1062A号商铺,"103.926740,30.597160",103.92674,30.59716,成都市,四川省,双流区,东升街道,POINT (103.92674 30.59716)
673,厦门闽南古镇店,厦门市长浩东路11号闽南古镇一楼B3-067/069/071 号,"118.108238,24.523781",118.108238,24.523781,厦门市,福建省,湖里区,殿前街道,POINT (118.108238 24.523781)
674,西安长和国际店,西安经济技术开发区凤城七路与明光路十字东北角长和上尚郡15-2-0101号,"108.931452,34.339252",108.931452,34.339252,西安市,陕西省,未央区,张家堡街道,POINT (108.931452 34.339252)
675,济宁苏宁生活广场店,济宁市任城区太白中路10号苏宁生活广场一层103,"116.592180,35.406485",116.59218,35.406485,济宁市,山东省,任城区,阜桥街道,POINT (116.59218 35.406485)
676,北京中关村大街分店,北京市海淀区中关村南大街东方创业谷食宝街一层G133号,"116.313360,39.980323",116.31336,39.980323,北京市,北京市,海淀区,海淀街道,POINT (116.31336 39.980323)
677,三亚凤凰机场,三亚市天涯区凤凰镇三亚凤凰机场国内出发厅1号门西侧,"109.412387,18.307723",109.412387,18.307723,三亚市,海南省,天涯区,凤凰镇,POINT (109.412387 18.307723)
678,金地兰亭店,云南省昆明市西山区人民西路899号金地兰亭广场3栋一拖二楼1015A、1015B号商铺,"102.652075,25.046691",102.652075,25.046691,昆明市,云南省,西山区,马街街道,POINT (102.652075 25.046691)
679,天利名城,深圳市南山区海德三道天利广场1期二楼沿街11/12号商铺,"113.933604,22.518244",113.933604,22.518244,深圳市,广东省,南山区,粤海街道,POINT (113.933604 22.518244)
680,成都红光沃尔玛,成都市郫县红光镇红佳路18号地上一层2715F1F0053&2715F1F0054号商铺,"103.943768,30.783252",103.943768,30.783252,成都市,四川省,郫都区,红光镇,POINT (103.943768 30.783252)
681,淮安苏宁广场,江苏省淮安市清江浦去淮海东路158号苏宁生活广场一楼汉堡王,"119.025399,33.596790",119.025399,33.59679,淮安市,江苏省,清江浦区,淮海街道,POINT (119.025399 33.59679)
682,保定华创店,河北省保定市裕华路555号华创广场一层,"115.490040,38.860148",115.49004,38.860148,保定市,河北省,莲池区,永华街道,POINT (115.49004 38.860148)
683,上海金桥太茂,上海市浦东新区金高路1882号太茂商场108-109号商铺,"121.608239,31.266887",121.608239,31.266887,上海市,上海市,浦东新区,金桥镇,POINT (121.608239 31.266887)
